Name,Gender,Korean Name,Debut,Company,Members,Orig. Memb.,Fanclub Name,Active,disband
Stray Kids,M,스트레이 키즈,26.03.2018,JYP,9,9,-,Yes,0
LU:KUS,M,루커스,04.07.2014,JWK,4,5,-,Yes,0
M.I.B,M,엠아이비,26.10.2011,Jungle,4,4,-,No,04.01.2017
Signal,M,시그널,28.08.2019,J-Star,4,4,-,Yes,0
TST,M,일급비밀,04.01.2017,JSL,7,7,-,Yes,0
VERMUDA,M,버뮤다,13.07.2017,JJJ,5,5,-,Yes,0
Masc,M,마스크,19.08.2016,JJ Holic,4,8,-,Yes,0
Newkidd,M,뉴키드,25.04.2019,J-FLO,7,7,-,Yes,0
Verivery,M,베리베리,01.09.2019,Jellyfish,7,7,-,Yes,0
JJCC,M,제이제이씨씨,13.03.2014,Jackie Chan Group,5,6,-,Yes,0
JBJ95,M,제이비제이95,30.10.2018,Hunus,2,2,-,Yes,0
Bigflo,M,빅플로,19.07.2014,HO,5,5,-,Yes,0
HALO,M,헤일로,26.07.2014,Histar,6,6,-,Yes,0
NTB,M,엔티비,28.05.2018,High Choice,6,6,-,Yes,0
Madtown,M,매드타운,06.10.2014,GNI,7,7,-,No,01.11.2017
Varsity,M,바시티,05.01.2017,GKC,12,12,-,Yes,0
B.I.G,M,비아이지,09.07.2014,GH,5,5,-,Yes,0
Honeyst,M,허니스트,17.05.2017,FNC,4,4,-,Yes,0
M.O.N.T,M,몬트,04.01.2019,FM,3,3,-,Yes,0
JBJ,M,제이비제이,18.10.2017,Fave,6,6,-,No,30.04.2018
VOISPER,M,보이스퍼,23.02.2016,Evermore,4,4,-,Yes,0
Beatwin,M,비트윈,06.01.2014,Elen,2,6,-,Hiatus,0
A6P,M,에이식스피,20.05.2015,DS,6,6,-,No,26.04.2016
MAP6,M,맵식스,10.11.2015,DreamT,5,5,-,Yes,0
PENTAGON,M,펜타곤,10.10.2016,Cube,9,10,-,Yes,0
ROMEO,M,로미오,04.11.2015,CT,7,7,-,Yes,0
The Boyz,M,더보이즈,31.12.2017,CreKer,12,12,-,Yes,0
Road Boyz,M,로드 보이즈,17.11.2015,Coconut,5,5,-,No,01.11.2016
Supernova,M,초신성,21.09.2007,CJ E&M,5,6,-,Yes,0
K-Much,M,케이머치,07.01.2014,Chrome,4,5,-,Yes,0
Be.A,M,비에이,25.05.2017,Chrome,3,5,-,Yes,0
We In The Zone,M,위인더존,27.05.2019,Choon,5,5,-,Yes,0
CIX,M,씨아이엑스,23.07.2019,C9,5,5,-,Yes,0
N-Sonic,M,엔소닉,05.10.2011,C2K,6,5,-,No,01.01.2016
BLK,M,비엘케이,28.11.2017,Byking,7,7,-,No,01.09.2018
BIGSTAR,M,빅스타,12.07.2012,Brave,5,5,-,No,01.07.2019
DKB,M,다크비,03.02.2020,Brave,9,9,-,Yes,0
Phantom,M,팬텀,25.11.2011,Brand New,3,3,-,No,01.01.2017
MXM,M,엠엑스엠,06.09.2017,Brand New,2,2,-,Yes,0
BLACK6IX,M,블랙식스,07.04.2017,BLACK HOLE,6,6,-,Yes,0
Homme,M,옴므,28.06.2010,Big Hit,2,2,-,Yes,0
TXT,M,투모로우바이투게더,04.03.2019,Big Hit,5,5,-,Yes,0
14U,M,원포유,17.04.2017,BG,14,14,-,Yes,0
SG Wannabe,M,SG 워너비,20.01.2004,B2M,3,4,-,Yes,0
D-Crunch,M,디크런치,06.08.2018,All-S,9,9,-,Yes,0
VAV,M,브이에이브이,31.10.2015,A team,7,6,-,Yes,0
24K,M,투포케이,06.09.2012,Choeun,8,6,24U,Yes,0
MBLAQ,M,엠블랙,14.10.2009,J Tune,3,5,A+,Yes,0
AB6IX,M,에이비식스,22.05.2019,Brand New,5,5,ABNEW,Yes,0
WINNER,M,위너,12.08.2014,YG,4,5,Ace,Yes,0
VICTON,M,빅톤,09.11.2016,Plan A,7,7,Alice,Yes,0
A-JAX,M,에이젝스,01.06.2012,DSP,5,7,A-LIGHT,No,31.03.2019
Teen Top,M,틴탑,09.07.2010,TOP Media,5,6,Angel,Yes,0
BTS,M,방탄소년단,13.06.2013,Big Hit,7,7,ARMY,Yes,0
ASTRO,M,아스트로,23.02.2016,Fantagio,6,6,AROHA,Yes,0
Highlight,M,하이라이트,14.10.2009,Around Us,4,6,B2uty,Yes,0
B.A.P,M,비에이피,27.01.2012,TS,6,6,BABY,No,17.02.2019
B1A4,M,비원에이포,19.04.2010,WM,5,5,BANA,Yes,0
Block B,M,블락비,13.04.2011,KQ,7,7,BBC,Yes,0
Boyfriend,M,보이프렌드,26.05.2011,Starship,6,6,Bestfriend,No,17.05.2019
CNBLUE,M,씨엔블루,14.01.2010,FNC,4,4,Boice,Yes,0
